goos: linux
goarch: amd64
pkg: bench-hashmaps
cpu: Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz
BenchmarkU32RandomShuffleInserts/std-50000-8      	       2	   2398264 ns/op	   3642816 Bytes	        -1.000 Load	     50000 N-runs	 1635592 B/op	    1875 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-100000-8        	       2	   4033979 ns/op	   6078536 Bytes	         0.3815 Load	    100000 N-runs	 6291360 B/op	      16 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-100000-8           	       2	   8383731 ns/op	   3745752 Bytes	         0.7629 Load	    100000 N-runs	 3697136 B/op	  100015 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-100000-8               	       2	   4175516 ns/op	   2637632 Bytes	        -1.000 Load	    100000 N-runs	 2359008 B/op	      26 allocs/op
BenchmarkU32RandomShuffleInserts/generic-100000-8             	       2	   5123303 ns/op	   5292096 Bytes	        -1.000 Load	    100000 N-runs	 6291432 B/op	      18 allocs/op
BenchmarkU32RandomShuffleInserts/flat-100000-8                	       2	   3465550 ns/op	   3719400 Bytes	         0.3815 Load	    100000 N-runs	 4194288 B/op	      16 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotch-100000-8           	       2	   4630936 ns/op	   3735864 Bytes	         0.7628 Load	    100000 N-runs	 4258880 B/op	      17 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotchLowLoad-100000-8    	       2	   5434128 ns/op	   6881656 Bytes	         0.3815 Load	    100000 N-runs	 8463552 B/op	      17 allocs/op
BenchmarkU32RandomShuffleInserts/std-200000-8                 	       2	  11498776 ns/op	   5807224 Bytes	        -1.000 Load	    200000 N-runs	 6557008 B/op	    7794 allocs/op
BenchmarkU32RandomShuffleInserts/robin-200000-8               	       2	   7453536 ns/op	   6480424 Bytes	         0.7629 Load	    200000 N-runs	 6291360 B/op	      16 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-200000-8        	       2	  10063765 ns/op	  12772248 Bytes	         0.3815 Load	    200000 N-runs	12582864 B/op	      17 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-200000-8           	       2	  19235543 ns/op	   7321744 Bytes	         0.7629 Load	    200000 N-runs	 7394244 B/op	  200016 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-200000-8               	       2	   9751382 ns/op	   4514968 Bytes	        -1.000 Load	    200000 N-runs	 4718304 B/op	      28 allocs/op
BenchmarkU32RandomShuffleInserts/generic-200000-8             	       2	  10077148 ns/op	  10413272 Bytes	        -1.000 Load	    200000 N-runs	12582888 B/op	      19 allocs/op
BenchmarkU32RandomShuffleInserts/flat-200000-8                	       2	   6959949 ns/op	   7267616 Bytes	         0.3815 Load	    200000 N-runs	 8388544 B/op	      17 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotch-200000-8           	       2	   9986506 ns/op	   7284176 Bytes	         0.7628 Load	    200000 N-runs	 8617584 B/op	      19 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotchLowLoad-200000-8    	       2	  11980168 ns/op	  13577200 Bytes	         0.3815 Load	    200000 N-runs	17130736 B/op	      19 allocs/op
BenchmarkU32RandomShuffleInserts/std-400000-8                 	       2	  24105962 ns/op	  11464864 Bytes	        -1.000 Load	    400000 N-runs	13191464 B/op	   16196 allocs/op
BenchmarkU32RandomShuffleInserts/robin-400000-8               	       2	  21840866 ns/op	  12790528 Bytes	         0.7629 Load	    400000 N-runs	12582864 B/op	      17 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-400000-8        	       2	  25574761 ns/op	  23800752 Bytes	         0.3815 Load	    400000 N-runs	25165728 B/op	      18 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-400000-8           	       2	  32981170 ns/op	  12377312 Bytes	         0.7629 Load	    400000 N-runs	14789600 B/op	  400019 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-400000-8               	       2	  19770184 ns/op	   8861000 Bytes	        -1.000 Load	    400000 N-runs	 9436896 B/op	      30 allocs/op
BenchmarkU32RandomShuffleInserts/generic-400000-8             	       2	  20560418 ns/op	  20657544 Bytes	        -1.000 Load	    400000 N-runs	25165800 B/op	      20 allocs/op
BenchmarkU32RandomShuffleInserts/flat-400000-8                	       2	  16459320 ns/op	  14366160 Bytes	         0.3815 Load	    400000 N-runs	16777152 B/op	      18 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotch-400000-8           	       2	  23760400 ns/op	  14382624 Bytes	         0.7629 Load	    400000 N-runs	16935232 B/op	      20 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotchLowLoad-400000-8    	       2	  38363470 ns/op	  43751008 Bytes	         0.3815 Load	    400000 N-runs	50961088 B/op	      21 allocs/op
BenchmarkU32RandomShuffleInserts/std-600000-8                 	       2	  44961341 ns/op	  20374944 Bytes	        -1.000 Load	    600000 N-runs	24869008 B/op	   19155 allocs/op
BenchmarkU32RandomShuffleInserts/robin-600000-8               	       2	  65285840 ns/op	  30988688 Bytes	         0.5722 Load	    600000 N-runs	25165728 B/op	      18 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-600000-8        	       2	  49943220 ns/op	  46619200 Bytes	         0.2861 Load	    600000 N-runs	50331552 B/op	      19 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-600000-8           	       2	  70653724 ns/op	  24761968 Bytes	         0.5722 Load	    600000 N-runs	26377152 B/op	  600018 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-600000-8               	       2	  38165159 ns/op	  16734840 Bytes	        -1.000 Load	    600000 N-runs	18874080 B/op	      32 allocs/op
BenchmarkU32RandomShuffleInserts/generic-600000-8             	       2	  36943526 ns/op	  40328056 Bytes	        -1.000 Load	    600000 N-runs	50331624 B/op	      21 allocs/op
BenchmarkU32RandomShuffleInserts/flat-600000-8                	       2	  28532886 ns/op	  27745408 Bytes	         0.2861 Load	    600000 N-runs	33554416 B/op	      19 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotch-600000-8           	       2	  81062085 ns/op	  44547376 Bytes	         0.5722 Load	    600000 N-runs	50481648 B/op	      22 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotchLowLoad-600000-8    	       2	  74012034 ns/op	  52928144 Bytes	         0.2861 Load	    600000 N-runs	100932080 B/op	      23 allocs/op
BenchmarkU32RandomShuffleInserts/std-800000-8                 	       2	  58792872 ns/op	  22710560 Bytes	        -1.000 Load	    800000 N-runs	26359280 B/op	   32232 allocs/op
BenchmarkU32RandomShuffleInserts/robin-800000-8               	       2	 118805448 ns/op	  25796976 Bytes	         0.7629 Load	    800000 N-runs	25165728 B/op	      18 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-800000-8        	       2	  44447162 ns/op	  47424128 Bytes	         0.3815 Load	    800000 N-runs	50331552 B/op	      19 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-800000-8           	       2	  86164606 ns/op	  24572784 Bytes	         0.7629 Load	    800000 N-runs	29577248 B/op	  800019 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-800000-8               	       2	  42498676 ns/op	  17539960 Bytes	        -1.000 Load	    800000 N-runs	18874080 B/op	      32 allocs/op
BenchmarkU32RandomShuffleInserts/generic-800000-8             	       2	  43972366 ns/op	  41133176 Bytes	        -1.000 Load	    800000 N-runs	50331720 B/op	      22 allocs/op
BenchmarkU32RandomShuffleInserts/flat-800000-8                	       2	  29726534 ns/op	  28550336 Bytes	         0.3815 Load	    800000 N-runs	33554368 B/op	      19 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotch-800000-8           	       2	 113851268 ns/op	  53735720 Bytes	         0.3815 Load	    800000 N-runs	84131648 B/op	      23 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotchLowLoad-800000-8    	       2	  69420822 ns/op	  53735704 Bytes	         0.3815 Load	    800000 N-runs	100776688 B/op	      22 allocs/op
BenchmarkU32RandomShuffleInserts/std-1000000-8                	       2	  92775020 ns/op	  39491704 Bytes	        -1.000 Load	   1000000 N-runs	49530912 B/op	   38363 allocs/op
BenchmarkU32RandomShuffleInserts/robin-1000000-8              	       2	 125528357 ns/op	  48237192 Bytes	         0.4768 Load	   1000000 N-runs	50331600 B/op	      19 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-1000000-8       	       2	  48519406 ns/op	  48236056 Bytes	         0.4768 Load	   1000000 N-runs	50331552 B/op	      19 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-1000000-8          	       2	 106222168 ns/op	  32772680 Bytes	         0.9537 Load	   1000000 N-runs	32777152 B/op	 1000018 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-1000000-8              	       2	  74115603 ns/op	  32501424 Bytes	        -1.000 Load	   1000000 N-runs	37748448 B/op	      34 allocs/op
BenchmarkU32RandomShuffleInserts/generic-1000000-8            	       2	  51581221 ns/op	  41938768 Bytes	        -1.000 Load	   1000000 N-runs	50331624 B/op	      21 allocs/op
BenchmarkU32RandomShuffleInserts/flat-1000000-8               	       2	  36548080 ns/op	  29355928 Bytes	         0.4768 Load	   1000000 N-runs	33554368 B/op	      19 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotch-1000000-8          	       2	 124299463 ns/op	  54538216 Bytes	         0.4768 Load	   1000000 N-runs	84535744 B/op	      23 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotchLowLoad-1000000-8   	       2	  68460394 ns/op	  54538376 Bytes	         0.4768 Load	   1000000 N-runs	83998448 B/op	      21 allocs/op
BenchmarkU32RandomShuffleInserts/std-1200000-8                	       2	 106234306 ns/op	  40535144 Bytes	        -1.000 Load	   1200000 N-runs	49749544 B/op	   38486 allocs/op
BenchmarkU32RandomShuffleInserts/robin-1200000-8              	       2	  91129348 ns/op	  49074488 Bytes	         0.5722 Load	   1200000 N-runs	50331552 B/op	      19 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-1200000-8       	       2	  76118842 ns/op	  93114856 Bytes	         0.2861 Load	   1200000 N-runs	100663200 B/op	      20 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-1200000-8          	       2	 180245356 ns/op	  49351296 Bytes	         0.5722 Load	   1200000 N-runs	52754368 B/op	 1200019 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-1200000-8              	       2	  86919626 ns/op	  33297224 Bytes	        -1.000 Load	   1200000 N-runs	37748448 B/op	      34 allocs/op
BenchmarkU32RandomShuffleInserts/generic-1200000-8            	       2	  83660829 ns/op	  80483400 Bytes	        -1.000 Load	   1200000 N-runs	100663368 B/op	      23 allocs/op
BenchmarkU32RandomShuffleInserts/flat-1200000-8               	       2	  55991594 ns/op	  55317744 Bytes	         0.2861 Load	   1200000 N-runs	67108848 B/op	      20 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotch-1200000-8          	       2	  99108863 ns/op	  55334304 Bytes	         0.5722 Load	   1200000 N-runs	69584448 B/op	      23 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotchLowLoad-1200000-8   	       2	  95752604 ns/op	 105666304 Bytes	         0.2861 Load	   1200000 N-runs	134862672 B/op	      23 allocs/op
BenchmarkU32RandomShuffleInserts/std-1400000-8                	       2	 124772286 ns/op	  42469120 Bytes	        -1.000 Load	   1400000 N-runs	50879864 B/op	   46126 allocs/op
BenchmarkU32RandomShuffleInserts/robin-1400000-8              	       2	  83061008 ns/op	  49928112 Bytes	         0.6676 Load	   1400000 N-runs	50331552 B/op	      19 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-1400000-8       	       2	  83978983 ns/op	  93870176 Bytes	         0.3338 Load	   1400000 N-runs	100663248 B/op	      20 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-1400000-8          	       2	 200895526 ns/op	  53355664 Bytes	         0.6676 Load	   1400000 N-runs	55954368 B/op	 1400019 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-1400000-8              	       2	  90840945 ns/op	  34101400 Bytes	        -1.000 Load	   1400000 N-runs	37748448 B/op	      34 allocs/op
BenchmarkU32RandomShuffleInserts/generic-1400000-8            	       2	  89300921 ns/op	  81287656 Bytes	        -1.000 Load	   1400000 N-runs	100663320 B/op	      22 allocs/op
BenchmarkU32RandomShuffleInserts/flat-1400000-8               	       2	  62437992 ns/op	  56122000 Bytes	         0.3338 Load	   1400000 N-runs	67108848 B/op	      20 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotch-1400000-8          	       2	  93285088 ns/op	  56138464 Bytes	         0.6676 Load	   1400000 N-runs	67362368 B/op	      22 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotchLowLoad-1400000-8   	       2	 104072886 ns/op	 106470176 Bytes	         0.3338 Load	   1400000 N-runs	142726848 B/op	      22 allocs/op
BenchmarkU32RandomShuffleInserts/std-1600000-8                	       2	 148246644 ns/op	  45407280 Bytes	        -1.000 Load	   1600000 N-runs	53006208 B/op	   64886 allocs/op
BenchmarkU32RandomShuffleInserts/robin-1600000-8              	       2	  81270178 ns/op	  50633584 Bytes	         0.7629 Load	   1600000 N-runs	50331552 B/op	      19 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-1600000-8       	       2	  98520779 ns/op	  94673952 Bytes	         0.3815 Load	   1600000 N-runs	100663200 B/op	      20 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-1600000-8          	       2	 219480536 ns/op	  48970832 Bytes	         0.7629 Load	   1600000 N-runs	59154368 B/op	 1600019 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-1600000-8              	       2	  97962704 ns/op	  34905176 Bytes	        -1.000 Load	   1600000 N-runs	37748448 B/op	      34 allocs/op
BenchmarkU32RandomShuffleInserts/generic-1600000-8            	       2	  95655941 ns/op	  82091352 Bytes	        -1.000 Load	   1600000 N-runs	100663368 B/op	      23 allocs/op
BenchmarkU32RandomShuffleInserts/flat-1600000-8               	       2	  70742346 ns/op	  56925600 Bytes	         0.3815 Load	   1600000 N-runs	67108800 B/op	      20 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotch-1600000-8          	       2	  97335972 ns/op	  56942064 Bytes	         0.7629 Load	   1600000 N-runs	67348800 B/op	      22 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotchLowLoad-1600000-8   	       2	 114346536 ns/op	 107274256 Bytes	         0.3815 Load	   1600000 N-runs	138528032 B/op	      23 allocs/op
BenchmarkU32RandomShuffleInserts/std-1800000-8                	       2	 186718554 ns/op	  77838192 Bytes	        -1.000 Load	   1800000 N-runs	99031768 B/op	   76484 allocs/op
BenchmarkU32RandomShuffleInserts/robin-1800000-8              	       2	 130570648 ns/op	  98615760 Bytes	         0.4292 Load	   1800000 N-runs	100663200 B/op	      20 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-1800000-8       	       2	 108387374 ns/op	  98615840 Bytes	         0.4292 Load	   1800000 N-runs	100663200 B/op	      20 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-1800000-8          	       2	 258533221 ns/op	  61355600 Bytes	         0.8583 Load	   1800000 N-runs	62354368 B/op	 1800019 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-1800000-8              	       2	 104098220 ns/op	  35701432 Bytes	        -1.000 Load	   1800000 N-runs	37748496 B/op	      34 allocs/op
BenchmarkU32RandomShuffleInserts/generic-1800000-8            	       2	 101076831 ns/op	  82887512 Bytes	        -1.000 Load	   1800000 N-runs	100663272 B/op	      22 allocs/op
BenchmarkU32RandomShuffleInserts/flat-1800000-8               	       2	  80793742 ns/op	  57721760 Bytes	         0.4292 Load	   1800000 N-runs	67108800 B/op	      20 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotch-1800000-8          	       2	 145515662 ns/op	 108069872 Bytes	         0.4292 Load	   1800000 N-runs	134464448 B/op	      23 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotchLowLoad-1800000-8   	       2	 125798551 ns/op	 108070032 Bytes	         0.4292 Load	   1800000 N-runs	135386816 B/op	      22 allocs/op
BenchmarkU32RandomShuffleInserts/std-2000000-8                	       2	 217431456 ns/op	  78805760 Bytes	        -1.000 Load	   2000000 N-runs	99200400 B/op	   76698 allocs/op
BenchmarkU32RandomShuffleInserts/robin-2000000-8              	       2	 176190557 ns/op	  96273728 Bytes	         0.4768 Load	   2000000 N-runs	100663200 B/op	      20 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-2000000-8       	       2	 128818490 ns/op	  96274000 Bytes	         0.4768 Load	   2000000 N-runs	100663248 B/op	      20 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-2000000-8          	       2	 279239868 ns/op	  56970976 Bytes	         0.9537 Load	   2000000 N-runs	65554368 B/op	 2000019 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-2000000-8              	       2	 200553424 ns/op	  64816872 Bytes	        -1.000 Load	   2000000 N-runs	75497184 B/op	      36 allocs/op
BenchmarkU32RandomShuffleInserts/generic-2000000-8            	       2	 122017600 ns/op	  83697448 Bytes	        -1.000 Load	   2000000 N-runs	100663272 B/op	      22 allocs/op
BenchmarkU32RandomShuffleInserts/flat-2000000-8               	       2	  99278698 ns/op	  58531888 Bytes	         0.4768 Load	   2000000 N-runs	67108800 B/op	      20 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotch-2000000-8          	       2	 203008582 ns/op	 108879920 Bytes	         0.4768 Load	   2000000 N-runs	151127408 B/op	      24 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotchLowLoad-2000000-8   	       2	 157584678 ns/op	 108880176 Bytes	         0.4768 Load	   2000000 N-runs	136435440 B/op	      22 allocs/op
BenchmarkU32RandomShuffleInserts/std-2200000-8                	       2	 245745840 ns/op	  79844656 Bytes	        -1.000 Load	   2200000 N-runs	99487376 B/op	   76912 allocs/op
BenchmarkU32RandomShuffleInserts/robin-2200000-8              	       2	 214293450 ns/op	  97084064 Bytes	         0.5245 Load	   2200000 N-runs	100663248 B/op	      20 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-2200000-8       	       2	 188140711 ns/op	 185164352 Bytes	         0.2623 Load	   2200000 N-runs	201326496 B/op	      21 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-2200000-8          	       2	 478900218 ns/op	  94535472 Bytes	         0.5245 Load	   2200000 N-runs	102308848 B/op	 2200020 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-2200000-8              	       2	 202698526 ns/op	  65627032 Bytes	        -1.000 Load	   2200000 N-runs	75497232 B/op	      36 allocs/op
BenchmarkU32RandomShuffleInserts/generic-2200000-8            	       2	 172996565 ns/op	 159996248 Bytes	        -1.000 Load	   2200000 N-runs	201326664 B/op	      24 allocs/op
BenchmarkU32RandomShuffleInserts/flat-2200000-8               	       2	 131445488 ns/op	 109664864 Bytes	         0.2623 Load	   2200000 N-runs	134217712 B/op	      21 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotch-2200000-8          	       2	 242525974 ns/op	 109681424 Bytes	         0.5245 Load	   2200000 N-runs	151118912 B/op	      24 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotchLowLoad-2200000-8   	       2	 208886532 ns/op	 210344880 Bytes	         0.2623 Load	   2200000 N-runs	270656704 B/op	      23 allocs/op
BenchmarkU32RandomShuffleInserts/std-2400000-8                	       2	 268621470 ns/op	  81057296 Bytes	        -1.000 Load	   2400000 N-runs	99855584 B/op	   76795 allocs/op
BenchmarkU32RandomShuffleInserts/robin-2400000-8              	       2	 244106906 ns/op	  97883136 Bytes	         0.5722 Load	   2400000 N-runs	100663200 B/op	      20 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-2400000-8       	       2	 189029385 ns/op	 185963792 Bytes	         0.2861 Load	   2400000 N-runs	201326496 B/op	      21 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-2400000-8          	       2	 524566792 ns/op	  98528672 Bytes	         0.5722 Load	   2400000 N-runs	105508848 B/op	 2400020 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-2400000-8              	       2	 214404994 ns/op	  66420648 Bytes	        -1.000 Load	   2400000 N-runs	75497184 B/op	      36 allocs/op
BenchmarkU32RandomShuffleInserts/generic-2400000-8            	       2	 185855881 ns/op	 160792744 Bytes	        -1.000 Load	   2400000 N-runs	201326616 B/op	      23 allocs/op
BenchmarkU32RandomShuffleInserts/flat-2400000-8               	       2	 142944125 ns/op	 110461264 Bytes	         0.2861 Load	   2400000 N-runs	134217712 B/op	      21 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotch-2400000-8          	       2	 259534675 ns/op	 110477920 Bytes	         0.5722 Load	   2400000 N-runs	151251264 B/op	      24 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotchLowLoad-2400000-8   	       2	 228031383 ns/op	 211141280 Bytes	         0.2861 Load	   2400000 N-runs	269608128 B/op	      23 allocs/op
BenchmarkU32RandomShuffleInserts/std-2600000-8                	       2	 307878952 ns/op	  82253616 Bytes	        -1.000 Load	   2600000 N-runs	100241856 B/op	   78142 allocs/op
BenchmarkU32RandomShuffleInserts/robin-2600000-8              	       2	 249924697 ns/op	  98681680 Bytes	         0.6199 Load	   2600000 N-runs	100663200 B/op	      20 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-2600000-8       	       2	 192485414 ns/op	 186762144 Bytes	         0.3099 Load	   2600000 N-runs	201326496 B/op	      21 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-2600000-8          	       2	 538059647 ns/op	  85755856 Bytes	         0.6199 Load	   2600000 N-runs	108708800 B/op	 2600020 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-2600000-8              	       2	 222622265 ns/op	  67224632 Bytes	        -1.000 Load	   2600000 N-runs	75497184 B/op	      36 allocs/op
BenchmarkU32RandomShuffleInserts/generic-2600000-8            	       2	 182845198 ns/op	 161596632 Bytes	        -1.000 Load	   2600000 N-runs	201326568 B/op	      23 allocs/op
BenchmarkU32RandomShuffleInserts/flat-2600000-8               	       2	 143682615 ns/op	 111265056 Bytes	         0.3099 Load	   2600000 N-runs	134217664 B/op	      21 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotch-2600000-8          	       2	 255067980 ns/op	 111281520 Bytes	         0.6199 Load	   2600000 N-runs	152181824 B/op	      24 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotchLowLoad-2600000-8   	       2	 223209108 ns/op	 211945168 Bytes	         0.3099 Load	   2600000 N-runs	269088496 B/op	      23 allocs/op
BenchmarkU32RandomShuffleInserts/std-2800000-8                	       2	 292364989 ns/op	  85008768 Bytes	        -1.000 Load	   2800000 N-runs	102219016 B/op	   92734 allocs/op
BenchmarkU32RandomShuffleInserts/robin-2800000-8              	       2	 236633776 ns/op	 101058336 Bytes	         0.6676 Load	   2800000 N-runs	100663200 B/op	      20 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-2800000-8       	       2	 202204902 ns/op	 187566032 Bytes	         0.3338 Load	   2800000 N-runs	201326544 B/op	      21 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-2800000-8          	       2	 544117913 ns/op	 106536960 Bytes	         0.6676 Load	   2800000 N-runs	111908800 B/op	 2800020 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-2800000-8              	       2	 234019664 ns/op	  68028424 Bytes	        -1.000 Load	   2800000 N-runs	75497184 B/op	      36 allocs/op
BenchmarkU32RandomShuffleInserts/generic-2800000-8            	       2	 189239416 ns/op	 162400616 Bytes	        -1.000 Load	   2800000 N-runs	201326616 B/op	      23 allocs/op
BenchmarkU32RandomShuffleInserts/flat-2800000-8               	       2	 146326104 ns/op	 112069136 Bytes	         0.3338 Load	   2800000 N-runs	134217664 B/op	      21 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotch-2800000-8          	       2	 271187177 ns/op	 112085600 Bytes	         0.6676 Load	   2800000 N-runs	151185728 B/op	      24 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotchLowLoad-2800000-8   	       2	 234591646 ns/op	 212748960 Bytes	         0.3338 Load	   2800000 N-runs	269088448 B/op	      23 allocs/op
BenchmarkU32RandomShuffleInserts/std-3000000-8                	       2	 313683110 ns/op	  87717024 Bytes	        -1.000 Load	   3000000 N-runs	104135096 B/op	  109911 allocs/op
BenchmarkU32RandomShuffleInserts/robin-3000000-8              	       2	 258159548 ns/op	 100287216 Bytes	         0.7153 Load	   3000000 N-runs	100663200 B/op	      20 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-3000000-8       	       2	 214436562 ns/op	 188361728 Bytes	         0.3576 Load	   3000000 N-runs	201326592 B/op	      22 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-3000000-8          	       2	 582702574 ns/op	 110532752 Bytes	         0.7153 Load	   3000000 N-runs	115108848 B/op	 3000020 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-3000000-8              	       2	 245299882 ns/op	  68824312 Bytes	        -1.000 Load	   3000000 N-runs	75497184 B/op	      36 allocs/op
BenchmarkU32RandomShuffleInserts/generic-3000000-8            	       2	 195193802 ns/op	 163196408 Bytes	        -1.000 Load	   3000000 N-runs	201326568 B/op	      23 allocs/op
BenchmarkU32RandomShuffleInserts/flat-3000000-8               	       2	 173006663 ns/op	 112864832 Bytes	         0.3576 Load	   3000000 N-runs	134217664 B/op	      21 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotch-3000000-8          	       2	 262323300 ns/op	 112881296 Bytes	         0.7153 Load	   3000000 N-runs	134596416 B/op	      23 allocs/op
BenchmarkU32RandomShuffleInserts/hopscotchLowLoad-3000000-8   	       2	 238290136 ns/op	 213544752 Bytes	         0.3576 Load	   3000000 N-runs	272758512 B/op	      23 allocs/op
