goos: linux
goarch: amd64
pkg: bench-hashmaps
cpu: Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz
BenchmarkU32RandomShuffleInserts/std-50000-8      	       2	   2714240 ns/op	   3636248 Bytes	        -1.000 Load	     50000 N-runs	 1629944 B/op	    1871 allocs/op
BenchmarkU32RandomShuffleInserts/generic-600000-8             	       2	  40127368 ns/op	  40326232 Bytes	        -1.000 Load	    600000 N-runs	50331624 B/op	      21 allocs/op
BenchmarkU32RandomShuffleInserts/std-800000-8                 	       2	  63567066 ns/op	  22944896 Bytes	        -1.000 Load	    800000 N-runs	26623544 B/op	   32451 allocs/op
BenchmarkU32RandomShuffleInserts/robin-800000-8               	       2	  53279980 ns/op	  41145744 Bytes	         0.3815 Load	    800000 N-runs	50418592 B/op	      19 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-800000-8        	       2	  50183708 ns/op	  41146112 Bytes	         0.3815 Load	    800000 N-runs	50418640 B/op	      19 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-800000-8           	       2	  94223938 ns/op	  28764048 Bytes	         0.7629 Load	    800000 N-runs	29577200 B/op	  800018 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-800000-8               	       2	  44105297 ns/op	  17537112 Bytes	        -1.000 Load	    800000 N-runs	18874128 B/op	      32 allocs/op
BenchmarkU32RandomShuffleInserts/generic-800000-8             	       2	  48584361 ns/op	  41130424 Bytes	        -1.000 Load	    800000 N-runs	50331672 B/op	      21 allocs/op
BenchmarkU32RandomShuffleInserts/std-1000000-8                	       2	 100967335 ns/op	  39502896 Bytes	        -1.000 Load	   1000000 N-runs	49512760 B/op	   38453 allocs/op
BenchmarkU32RandomShuffleInserts/robin-1000000-8              	       2	  64790510 ns/op	  41950224 Bytes	         0.4768 Load	   1000000 N-runs	50418688 B/op	      20 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-1000000-8       	       2	  56552433 ns/op	  41950304 Bytes	         0.4768 Load	   1000000 N-runs	50418592 B/op	      19 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-1000000-8          	       2	 113742246 ns/op	  32768240 Bytes	         0.9537 Load	   1000000 N-runs	32777200 B/op	 1000018 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-1000000-8              	       2	  77311322 ns/op	  32497080 Bytes	        -1.000 Load	   1000000 N-runs	37748448 B/op	      34 allocs/op
BenchmarkU32RandomShuffleInserts/generic-1000000-8            	       2	  57738720 ns/op	  41934328 Bytes	        -1.000 Load	   1000000 N-runs	50331624 B/op	      21 allocs/op
BenchmarkU32RandomShuffleInserts/std-1200000-8                	       2	 115099462 ns/op	  40496000 Bytes	        -1.000 Load	   1200000 N-runs	49745272 B/op	   38176 allocs/op
BenchmarkU32RandomShuffleInserts/robin-1200000-8              	       2	  72203006 ns/op	  42745840 Bytes	         0.5722 Load	   1200000 N-runs	50418592 B/op	      19 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-1200000-8       	       2	  84949684 ns/op	  80494656 Bytes	         0.2861 Load	   1200000 N-runs	100758432 B/op	      20 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-1200000-8          	       2	 193964266 ns/op	  49346672 Bytes	         0.5722 Load	   1200000 N-runs	52754368 B/op	 1200019 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-1200000-8              	       2	  92298366 ns/op	  33292680 Bytes	        -1.000 Load	   1200000 N-runs	37748448 B/op	      34 allocs/op
BenchmarkU32RandomShuffleInserts/generic-1200000-8            	       2	  87195788 ns/op	  80478952 Bytes	        -1.000 Load	   1200000 N-runs	100663320 B/op	      22 allocs/op
BenchmarkU32RandomShuffleInserts/std-1400000-8                	       2	 134445284 ns/op	  42475520 Bytes	        -1.000 Load	   1400000 N-runs	50850368 B/op	   46078 allocs/op
BenchmarkU32RandomShuffleInserts/robin-1400000-8              	       2	  86252121 ns/op	  43549536 Bytes	         0.6676 Load	   1400000 N-runs	50418592 B/op	      19 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-1400000-8       	       2	  98691988 ns/op	  81298352 Bytes	         0.3338 Load	   1400000 N-runs	100758432 B/op	      20 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-1400000-8          	       2	 214317420 ns/op	  53350560 Bytes	         0.6676 Load	   1400000 N-runs	55954416 B/op	 1400019 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-1400000-8              	       2	  94720179 ns/op	  34099040 Bytes	        -1.000 Load	   1400000 N-runs	37748448 B/op	      34 allocs/op
BenchmarkU32RandomShuffleInserts/generic-1400000-8            	       2	  95822086 ns/op	  81285312 Bytes	        -1.000 Load	   1400000 N-runs	100663320 B/op	      22 allocs/op
BenchmarkU32RandomShuffleInserts/std-1600000-8                	       2	 154701509 ns/op	  45432424 Bytes	        -1.000 Load	   1600000 N-runs	53052712 B/op	   65149 allocs/op
BenchmarkU32RandomShuffleInserts/robin-1600000-8              	       2	  96023630 ns/op	  44355896 Bytes	         0.7629 Load	   1600000 N-runs	50418592 B/op	      19 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-1600000-8       	       2	 111809193 ns/op	  82103304 Bytes	         0.3815 Load	   1600000 N-runs	100758432 B/op	      20 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-1600000-8          	       2	 247089384 ns/op	  48966808 Bytes	         0.7629 Load	   1600000 N-runs	59154416 B/op	 1600019 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-1600000-8              	       2	  96854076 ns/op	  34901248 Bytes	        -1.000 Load	   1600000 N-runs	37748496 B/op	      34 allocs/op
BenchmarkU32RandomShuffleInserts/generic-1600000-8            	       2	  99033170 ns/op	  82087520 Bytes	        -1.000 Load	   1600000 N-runs	100663368 B/op	      23 allocs/op
BenchmarkU32RandomShuffleInserts/std-1800000-8                	       2	 196615589 ns/op	  77823976 Bytes	        -1.000 Load	   1800000 N-runs	99067784 B/op	   76745 allocs/op
BenchmarkU32RandomShuffleInserts/robin-1800000-8              	       2	 131519836 ns/op	  82898648 Bytes	         0.4292 Load	   1800000 N-runs	100758432 B/op	      20 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-1800000-8       	       2	 125593026 ns/op	  82898824 Bytes	         0.4292 Load	   1800000 N-runs	100758480 B/op	      20 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-1800000-8          	       2	 262042814 ns/op	  61350840 Bytes	         0.8583 Load	   1800000 N-runs	62354368 B/op	 1800019 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-1800000-8              	       2	 105372076 ns/op	  35696768 Bytes	        -1.000 Load	   1800000 N-runs	37748544 B/op	      35 allocs/op
BenchmarkU32RandomShuffleInserts/generic-1800000-8            	       2	 112746724 ns/op	  82882752 Bytes	        -1.000 Load	   1800000 N-runs	100663272 B/op	      22 allocs/op
BenchmarkU32RandomShuffleInserts/std-2000000-8                	       2	 239108691 ns/op	  78802312 Bytes	        -1.000 Load	   2000000 N-runs	99187008 B/op	   76533 allocs/op
BenchmarkU32RandomShuffleInserts/robin-2000000-8              	       2	 157789720 ns/op	  83702072 Bytes	         0.4768 Load	   2000000 N-runs	100758432 B/op	      20 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-2000000-8       	       2	 148887042 ns/op	  83702152 Bytes	         0.4768 Load	   2000000 N-runs	100758432 B/op	      20 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-2000000-8          	       2	 293684174 ns/op	  56965656 Bytes	         0.9537 Load	   2000000 N-runs	65554416 B/op	 2000019 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-2000000-8              	       2	 198732434 ns/op	  64811648 Bytes	        -1.000 Load	   2000000 N-runs	75497232 B/op	      36 allocs/op
BenchmarkU32RandomShuffleInserts/generic-2000000-8            	       2	 122924615 ns/op	  83686176 Bytes	        -1.000 Load	   2000000 N-runs	100663272 B/op	      22 allocs/op
BenchmarkU32RandomShuffleInserts/std-2200000-8                	       2	 252800302 ns/op	  79844952 Bytes	        -1.000 Load	   2200000 N-runs	99450768 B/op	   76710 allocs/op
BenchmarkU32RandomShuffleInserts/robin-2200000-8              	       2	 174260538 ns/op	  84505496 Bytes	         0.5245 Load	   2200000 N-runs	100758432 B/op	      20 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-2200000-8       	       2	 196964652 ns/op	 160003144 Bytes	         0.2623 Load	   2200000 N-runs	201429968 B/op	      21 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-2200000-8          	       2	 461525850 ns/op	  94523512 Bytes	         0.5245 Load	   2200000 N-runs	102308800 B/op	 2200020 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-2200000-8              	       2	 203864589 ns/op	  65614976 Bytes	        -1.000 Load	   2200000 N-runs	75497184 B/op	      36 allocs/op
BenchmarkU32RandomShuffleInserts/generic-2200000-8            	       2	 170821682 ns/op	 159987072 Bytes	        -1.000 Load	   2200000 N-runs	201326568 B/op	      23 allocs/op
BenchmarkU32RandomShuffleInserts/std-2400000-8                	       2	 271782716 ns/op	  81016056 Bytes	        -1.000 Load	   2400000 N-runs	99833544 B/op	   76581 allocs/op
BenchmarkU32RandomShuffleInserts/robin-2400000-8              	       2	 204457036 ns/op	  85300920 Bytes	         0.5722 Load	   2400000 N-runs	100758432 B/op	      20 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-2400000-8       	       2	 210858257 ns/op	 160798568 Bytes	         0.2861 Load	   2400000 N-runs	201429920 B/op	      21 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-2400000-8          	       2	 475720249 ns/op	  98518936 Bytes	         0.5722 Load	   2400000 N-runs	105508800 B/op	 2400020 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-2400000-8              	       2	 210978162 ns/op	  66410816 Bytes	        -1.000 Load	   2400000 N-runs	75497184 B/op	      36 allocs/op
BenchmarkU32RandomShuffleInserts/generic-2400000-8            	       2	 178703785 ns/op	 160782720 Bytes	        -1.000 Load	   2400000 N-runs	201326568 B/op	      23 allocs/op
BenchmarkU32RandomShuffleInserts/std-2600000-8                	       2	 289433716 ns/op	  82242568 Bytes	        -1.000 Load	   2600000 N-runs	100257432 B/op	   78336 allocs/op
BenchmarkU32RandomShuffleInserts/robin-2600000-8              	       2	 226186644 ns/op	  86104568 Bytes	         0.6199 Load	   2600000 N-runs	100758432 B/op	      20 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-2600000-8       	       2	 221267404 ns/op	 161602120 Bytes	         0.3099 Load	   2600000 N-runs	201429920 B/op	      21 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-2600000-8          	       2	 535728618 ns/op	 102522488 Bytes	         0.6199 Load	   2600000 N-runs	108708800 B/op	 2600020 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-2600000-8              	       2	 228292508 ns/op	  67214048 Bytes	        -1.000 Load	   2600000 N-runs	75497232 B/op	      36 allocs/op
BenchmarkU32RandomShuffleInserts/generic-2600000-8            	       2	 187397626 ns/op	 161586048 Bytes	        -1.000 Load	   2600000 N-runs	201326616 B/op	      23 allocs/op
BenchmarkU32RandomShuffleInserts/std-2800000-8                	       2	 314546133 ns/op	  84996200 Bytes	        -1.000 Load	   2800000 N-runs	102234640 B/op	   92865 allocs/op
BenchmarkU32RandomShuffleInserts/robin-2800000-8              	       2	 252983464 ns/op	  86907896 Bytes	         0.6676 Load	   2800000 N-runs	100758432 B/op	      20 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-2800000-8       	       2	 231003376 ns/op	 162405544 Bytes	         0.3338 Load	   2800000 N-runs	201429968 B/op	      21 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-2800000-8          	       2	 578193065 ns/op	 106526104 Bytes	         0.6676 Load	   2800000 N-runs	111908848 B/op	 2800020 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-2800000-8              	       2	 234626148 ns/op	  68017856 Bytes	        -1.000 Load	   2800000 N-runs	75497328 B/op	      37 allocs/op
BenchmarkU32RandomShuffleInserts/generic-2800000-8            	       2	 196542093 ns/op	 162390048 Bytes	        -1.000 Load	   2800000 N-runs	201326664 B/op	      24 allocs/op
BenchmarkU32RandomShuffleInserts/std-3000000-8                	       2	 335365885 ns/op	  87688760 Bytes	        -1.000 Load	   3000000 N-runs	104109328 B/op	  109653 allocs/op
BenchmarkU32RandomShuffleInserts/robin-3000000-8              	       2	 269529168 ns/op	  87703800 Bytes	         0.7153 Load	   3000000 N-runs	100758432 B/op	      20 allocs/op
BenchmarkU32RandomShuffleInserts/robinLowLoad-3000000-8       	       2	 242185266 ns/op	 163201448 Bytes	         0.3576 Load	   3000000 N-runs	201429920 B/op	      21 allocs/op
BenchmarkU32RandomShuffleInserts/unordered-3000000-8          	       2	 605323684 ns/op	  93744600 Bytes	         0.7153 Load	   3000000 N-runs	115108800 B/op	 3000020 allocs/op
BenchmarkU32RandomShuffleInserts/swiss-3000000-8              	       2	 244924538 ns/op	  68813472 Bytes	        -1.000 Load	   3000000 N-runs	75497232 B/op	      36 allocs/op
BenchmarkU32RandomShuffleInserts/generic-3000000-8            	       2	 207814243 ns/op	 163185568 Bytes	        -1.000 Load	   3000000 N-runs	201326616 B/op	      23 allocs/op
BenchmarkU32RandomFullInserts/std-50000-8                     	       2	   2631462 ns/op	   1601624 Bytes	        -1.000 Load	     50000 N-runs	 1637240 B/op	    1899 allocs/op
BenchmarkU32RandomFullInserts/robin-50000-8                   	       2	   3303448 ns/op	   2770632 Bytes	         0.3814 Load	     50000 N-runs	 3199904 B/op	      15 allocs/op
BenchmarkU32RandomFullInserts/robinLowLoad-50000-8            	       2	   2592405 ns/op	   2776936 Bytes	         0.3814 Load	     50000 N-runs	 3199904 B/op	      15 allocs/op
BenchmarkU32RandomFullInserts/unordered-50000-8               	       2	   3687215 ns/op	   1987800 Bytes	         0.7629 Load	     50000 N-runs	 1848560 B/op	   50014 allocs/op
BenchmarkU32RandomFullInserts/swiss-50000-8                   	       2	   2208790 ns/op	   2761984 Bytes	        -1.000 Load	     50000 N-runs	 1179360 B/op	      24 allocs/op
BenchmarkU32RandomFullInserts/generic-50000-8                 	       2	   2390300 ns/op	   2760832 Bytes	        -1.000 Load	     50000 N-runs	 3145704 B/op	      17 allocs/op
BenchmarkU32RandomFullInserts/std-100000-8                    	       2	   5577257 ns/op	   3023512 Bytes	        -1.000 Load	    100000 N-runs	 3273256 B/op	    3929 allocs/op
BenchmarkU32RandomFullInserts/robin-100000-8                  	       2	   7059624 ns/op	   5333448 Bytes	         0.3814 Load	    100000 N-runs	 6353872 B/op	      16 allocs/op
BenchmarkU32RandomFullInserts/robinLowLoad-100000-8           	       2	   5606910 ns/op	   5333448 Bytes	         0.3814 Load	    100000 N-runs	 6353824 B/op	      16 allocs/op
BenchmarkU32RandomFullInserts/unordered-100000-8              	       2	   7941581 ns/op	   3771352 Bytes	         0.7629 Load	    100000 N-runs	 3697088 B/op	  100015 allocs/op
BenchmarkU32RandomFullInserts/swiss-100000-8                  	       2	   4609814 ns/op	   2662992 Bytes	        -1.000 Load	    100000 N-runs	 2359008 B/op	      26 allocs/op
BenchmarkU32RandomFullInserts/generic-100000-8                	       2	   4971169 ns/op	   5317248 Bytes	        -1.000 Load	    100000 N-runs	 6291432 B/op	      18 allocs/op
BenchmarkU32RandomFullInserts/std-200000-8                    	       2	  11459282 ns/op	   5867864 Bytes	        -1.000 Load	    200000 N-runs	 6597872 B/op	    8053 allocs/op
BenchmarkU32RandomFullInserts/robin-200000-8                  	       2	  10910828 ns/op	   5732200 Bytes	         0.7629 Load	    200000 N-runs	 6353824 B/op	      16 allocs/op
BenchmarkU32RandomFullInserts/robinLowLoad-200000-8           	       2	  11623544 ns/op	  10450968 Bytes	         0.3815 Load	    200000 N-runs	12653472 B/op	      17 allocs/op
BenchmarkU32RandomFullInserts/unordered-200000-8              	       2	  18304071 ns/op	   7343336 Bytes	         0.7629 Load	    200000 N-runs	 7394288 B/op	  200016 allocs/op
BenchmarkU32RandomFullInserts/swiss-200000-8                  	       2	   9892626 ns/op	   4536576 Bytes	        -1.000 Load	    200000 N-runs	 4718304 B/op	      28 allocs/op
BenchmarkU32RandomFullInserts/generic-200000-8                	       2	  11131989 ns/op	  10434864 Bytes	        -1.000 Load	    200000 N-runs	12582888 B/op	      19 allocs/op
BenchmarkU32RandomFullInserts/std-400000-8                    	       2	  25880380 ns/op	  11490968 Bytes	        -1.000 Load	    400000 N-runs	13198056 B/op	   16215 allocs/op
BenchmarkU32RandomFullInserts/robin-400000-8                  	       2	  30862110 ns/op	  20691672 Bytes	         0.3815 Load	    400000 N-runs	25244624 B/op	      18 allocs/op
BenchmarkU32RandomFullInserts/robinLowLoad-400000-8           	       2	  26739087 ns/op	  20691848 Bytes	         0.3815 Load	    400000 N-runs	25244576 B/op	      18 allocs/op
BenchmarkU32RandomFullInserts/unordered-400000-8              	       2	  46664190 ns/op	  14492760 Bytes	         0.7629 Load	    400000 N-runs	14788640 B/op	  400018 allocs/op
BenchmarkU32RandomFullInserts/swiss-400000-8                  	       2	  20654452 ns/op	   8879312 Bytes	        -1.000 Load	    400000 N-runs	 9436944 B/op	      30 allocs/op
BenchmarkU32RandomFullInserts/generic-400000-8                	       2	  23574786 ns/op	  20675936 Bytes	        -1.000 Load	    400000 N-runs	25165800 B/op	      20 allocs/op
BenchmarkU32RandomFullInserts/std-600000-8                    	       2	  51569006 ns/op	  20393192 Bytes	        -1.000 Load	    600000 N-runs	24866360 B/op	   19187 allocs/op
BenchmarkU32RandomFullInserts/robin-600000-8                  	       2	  39657572 ns/op	  21487272 Bytes	         0.5722 Load	    600000 N-runs	25244576 B/op	      18 allocs/op
BenchmarkU32RandomFullInserts/robinLowLoad-600000-8           	       2	  48257675 ns/op	  40361720 Bytes	         0.2861 Load	    600000 N-runs	50418592 B/op	      19 allocs/op
BenchmarkU32RandomFullInserts/unordered-600000-8              	       2	  83156222 ns/op	  24779624 Bytes	         0.5722 Load	    600000 N-runs	26377152 B/op	  600018 allocs/op
BenchmarkU32RandomFullInserts/swiss-600000-8                  	       2	  40192726 ns/op	  16753216 Bytes	        -1.000 Load	    600000 N-runs	18874080 B/op	      32 allocs/op
BenchmarkU32RandomFullInserts/generic-600000-8                	       2	  43425928 ns/op	  40346320 Bytes	        -1.000 Load	    600000 N-runs	50331624 B/op	      21 allocs/op
BenchmarkU32RandomFullInserts/std-800000-8                    	       2	  62940860 ns/op	  22724856 Bytes	        -1.000 Load	    800000 N-runs	26415616 B/op	   32362 allocs/op
BenchmarkU32RandomFullInserts/robin-800000-8                  	       2	  66592284 ns/op	  41166040 Bytes	         0.3815 Load	    800000 N-runs	50418640 B/op	      19 allocs/op
BenchmarkU32RandomFullInserts/robinLowLoad-800000-8           	       2	  59147787 ns/op	  41166216 Bytes	         0.3815 Load	    800000 N-runs	50418592 B/op	      19 allocs/op
BenchmarkU32RandomFullInserts/unordered-800000-8              	       2	 103661662 ns/op	  24589912 Bytes	         0.7629 Load	    800000 N-runs	29577200 B/op	  800018 allocs/op
BenchmarkU32RandomFullInserts/swiss-800000-8                  	       2	  44770460 ns/op	  17557104 Bytes	        -1.000 Load	    800000 N-runs	18874080 B/op	      32 allocs/op
BenchmarkU32RandomFullInserts/generic-800000-8                	       2	  49313140 ns/op	  41150112 Bytes	        -1.000 Load	    800000 N-runs	50331624 B/op	      21 allocs/op
BenchmarkU32RandomFullInserts/std-1000000-8                   	       2	 104773043 ns/op	  39514024 Bytes	        -1.000 Load	   1000000 N-runs	49523200 B/op	   38394 allocs/op
BenchmarkU32RandomFullInserts/robin-1000000-8                 	       2	  80907524 ns/op	  41969544 Bytes	         0.4768 Load	   1000000 N-runs	50418592 B/op	      19 allocs/op
BenchmarkU32RandomFullInserts/robinLowLoad-1000000-8          	       2	  70501488 ns/op	  41969624 Bytes	         0.4768 Load	   1000000 N-runs	50418592 B/op	      19 allocs/op
BenchmarkU32RandomFullInserts/unordered-1000000-8             	       2	 136910929 ns/op	  32787448 Bytes	         0.9537 Load	   1000000 N-runs	32777152 B/op	 1000018 allocs/op
BenchmarkU32RandomFullInserts/swiss-1000000-8                 	       2	  84780482 ns/op	  32516288 Bytes	        -1.000 Load	   1000000 N-runs	37748496 B/op	      34 allocs/op
BenchmarkU32RandomFullInserts/generic-1000000-8               	       2	  59650272 ns/op	  41953520 Bytes	        -1.000 Load	   1000000 N-runs	50331624 B/op	      21 allocs/op
BenchmarkU32RandomFullInserts/std-1200000-8                   	       2	 119136962 ns/op	  40545160 Bytes	        -1.000 Load	   1200000 N-runs	49730360 B/op	   38308 allocs/op
BenchmarkU32RandomFullInserts/robin-1200000-8                 	       2	  88000792 ns/op	  42764664 Bytes	         0.5722 Load	   1200000 N-runs	50418592 B/op	      19 allocs/op
BenchmarkU32RandomFullInserts/robinLowLoad-1200000-8          	       2	 107791516 ns/op	  80513480 Bytes	         0.2861 Load	   1200000 N-runs	100758432 B/op	      20 allocs/op
BenchmarkU32RandomFullInserts/unordered-1200000-8             	       2	 223129829 ns/op	  49365480 Bytes	         0.5722 Load	   1200000 N-runs	52754368 B/op	 1200019 allocs/op
BenchmarkU32RandomFullInserts/swiss-1200000-8                 	       2	  92411180 ns/op	  33311728 Bytes	        -1.000 Load	   1200000 N-runs	37748448 B/op	      34 allocs/op
BenchmarkU32RandomFullInserts/generic-1200000-8               	       2	  88498193 ns/op	  80497696 Bytes	        -1.000 Load	   1200000 N-runs	100663272 B/op	      22 allocs/op
BenchmarkU32RandomFullInserts/std-1400000-8                   	       2	 138085739 ns/op	  42483960 Bytes	        -1.000 Load	   1400000 N-runs	50873696 B/op	   46051 allocs/op
BenchmarkU32RandomFullInserts/robin-1400000-8                 	       2	 105022931 ns/op	  43568584 Bytes	         0.6676 Load	   1400000 N-runs	50418592 B/op	      19 allocs/op
BenchmarkU32RandomFullInserts/robinLowLoad-1400000-8          	       2	 116816134 ns/op	  81317496 Bytes	         0.3338 Load	   1400000 N-runs	100758432 B/op	      20 allocs/op
BenchmarkU32RandomFullInserts/unordered-1400000-8             	       2	 266068760 ns/op	  53369592 Bytes	         0.6676 Load	   1400000 N-runs	55954368 B/op	 1400019 allocs/op
BenchmarkU32RandomFullInserts/swiss-1400000-8                 	       2	  93658026 ns/op	  34115328 Bytes	        -1.000 Load	   1400000 N-runs	37748448 B/op	      34 allocs/op
BenchmarkU32RandomFullInserts/generic-1400000-8               	       2	 100267165 ns/op	  81301296 Bytes	        -1.000 Load	   1400000 N-runs	100663272 B/op	      22 allocs/op
